portfolio_id,farm_id,name,partner_longitude,partner_latitude,area
virtualfarmer.portfolio_715,virtualfarmer.farm_1163,Piet Koppies,20.672535272310547,-34.2271255,600.09
virtualfarmer.portfolio_748,virtualfarmer.farm_1194,Geluk,27.797088418806048,-28.5814115,437.84
virtualfarmer.portfolio_781,virtualfarmer.farm_1226,Roodepoortje,26.524802383506184,-26.1182135,203.11
virtualfarmer.portfolio_715,virtualfarmer.farm_1161,Kopjes,20.663032143402873,-34.237359999999995,405.8
virtualfarmer.portfolio_882,virtualfarmer.farm_1296,Leliesrus,28.180997814308,-27.719133499999998,272.72
virtualfarmer.portfolio_103,virtualfarmer.farm_259,Faure,27.06348890363636,-24.404521000000003,781.825
virtualfarmer.portfolio_103,virtualfarmer.farm_260,Kaaldraai,27.19417683454288,-24.576998500000002,388.8
virtualfarmer.portfolio_880,virtualfarmer.farm_1298,Vlaklaagte,29.1640735064464,-25.9898065,173.12
virtualfarmer.portfolio_537,virtualfarmer.farm_1045,Uitzicht,29.25279608222459,-24.4442075,2725.85
virtualfarmer.portfolio_534,virtualfarmer.farm_969,Derdekraalpoort,28.979211211972647,-24.5051135,1350.72
virtualfarmer.portfolio_321,virtualfarmer.farm_1523,Ancona,26.688134716417103,-27.435142499999998,502.61
virtualfarmer.portfolio_898,virtualfarmer.farm_1424,Loslapdoorns,25.948389362243333,-26.2508285,1068.47
virtualfarmer.portfolio_451,virtualfarmer.farm_1337,Welstand,29.034489037744237,-27.1986395,342.06
virtualfarmer.portfolio_451,virtualfarmer.farm_1339,Afgunsdam,28.94509110145011,-27.1571895,503.5
virtualfarmer.portfolio_898,virtualfarmer.farm_1426,Bloedzuigerspan,25.725370670746877,-26.237963,698.46
virtualfarmer.portfolio_898,virtualfarmer.farm_1427,Rietkolk,25.714696451036644,-26.2452525,213.17
virtualfarmer.portfolio_898,virtualfarmer.farm_1428,De Paarl,25.958148058357075,-26.1277275,400.85
virtualfarmer.portfolio_524,virtualfarmer.farm_970,Merriekuil,29.08631657884019,-24.4708925,424.31
virtualfarmer.portfolio_980,virtualfarmer.farm_1524,Langgewacht,30.537396386269045,-27.113571,590.73
virtualfarmer.portfolio_524,virtualfarmer.farm_971,Haardekraal,29.03063975316958,-24.567608,312.75
virtualfarmer.portfolio_715,virtualfarmer.farm_1170,Tierkraans,20.66430532036297,-34.258371,431.05
virtualfarmer.portfolio_451,virtualfarmer.farm_1343,Hattingh,28.8599588331017,-27.312961,355.23
virtualfarmer.portfolio_451,virtualfarmer.farm_1342,Defence,29.009751953118695,-27.1716725,178.03
virtualfarmer.portfolio_451,virtualfarmer.farm_1344,Goedheid,28.885997662972585,-27.310763,438.22
virtualfarmer.portfolio_750,virtualfarmer.farm_1259,Idaho,25.27736784456217,-27.833864,1244.44
virtualfarmer.portfolio_225,virtualfarmer.farm_583,C Hartman,29.130592916200925,-25.6942325,922.59
virtualfarmer.portfolio_535,virtualfarmer.farm_1030,Rooipan,28.876577985454652,-24.51119,940.01
virtualfarmer.portfolio_715,virtualfarmer.farm_1171,Bospad,20.636057246994767,-34.233139,395.61
virtualfarmer.portfolio_715,virtualfarmer.farm_1167,Langklip,20.631018294079134,-34.254076,303.44
virtualfarmer.portfolio_898,virtualfarmer.farm_1429,Kalkspruit,26.00186908565898,-26.2945955,1958.41
virtualfarmer.portfolio_583,virtualfarmer.farm_1047,Geluk,28.872730510046857,-24.6203345,46.58
virtualfarmer.portfolio_848,virtualfarmer.farm_1262,Glen Morgan,27.845488135925862,-28.7362425,196.57
virtualfarmer.portfolio_583,virtualfarmer.farm_1048,Haakdoornbult,28.92897322405357,-24.566729,512.95
virtualfarmer.portfolio_715,virtualfarmer.farm_1166,Kady,20.636057246994767,-34.233139,0
virtualfarmer.portfolio_848,virtualfarmer.farm_1264,Franshoek,27.755406243431842,-28.595810999999998,987.68
virtualfarmer.portfolio_749,virtualfarmer.farm_1195,Vaal-Harts Settlement B,24.68446805626173,-28.048187499999997,214.05
virtualfarmer.portfolio_74,virtualfarmer.farm_232,Rustenburg,29.59634115419652,-28.767580000000002,1016.14
virtualfarmer.portfolio_897,virtualfarmer.farm_1345,Houtvolop,25.344749116546648,-27.32838,398.01
virtualfarmer.portfolio_892,virtualfarmer.farm_1433,Doornspruit,25.92252161719979,-26.845498,341.906
virtualfarmer.portfolio_717,virtualfarmer.farm_1172,Vaal-Harts Settlement B,24.805951356381748,-27.961114000000002,99.43
virtualfarmer.portfolio_782,virtualfarmer.farm_1227,Wachteenbietjesdraai,27.40543990362575,-24.674879,164.61
virtualfarmer.portfolio_892,virtualfarmer.farm_1434,Doornkuil,25.91039079337493,-26.839377,938.3
virtualfarmer.portfolio_716,virtualfarmer.farm_1173,Willows,26.229914740882435,-27.547208,764.97
virtualfarmer.portfolio_716,virtualfarmer.farm_1346,Bloudrif,26.211628343356388,-27.539396500000002,731.28
virtualfarmer.portfolio_127,virtualfarmer.farm_501,Brakpan,26.29368548849443,-26.586907,247.12
virtualfarmer.portfolio_127,virtualfarmer.farm_502,Bulfontein,26.379290581423557,-26.2853365,391.39
virtualfarmer.portfolio_160,virtualfarmer.farm_197,Elandsfontein,29.127313758894175,-25.9185925,1973.434
virtualfarmer.portfolio_720,virtualfarmer.farm_1174,Vaal-Harts Settlement B,24.76690012529002,-28.012076,64.19
virtualfarmer.portfolio_716,virtualfarmer.farm_1347,Kleinveld,26.222624775930775,-27.5785485,220.19
virtualfarmer.portfolio_750,virtualfarmer.farm_1197,De Kriel,24.81871287668292,-29.3609285,1974.42
virtualfarmer.portfolio_980,virtualfarmer.farm_1527,Amsterdam,30.48976244063936,-27.1140435,2021.8
virtualfarmer.portfolio_160,virtualfarmer.farm_832,Klipplaat,29.203315805313462,-26.072687000000002,287.53
virtualfarmer.portfolio_751,virtualfarmer.farm_1198,Loskop Noord,29.169524946125566,-25.017390499999998,82.84
virtualfarmer.portfolio_160,virtualfarmer.farm_1348,Kromdraai,29.056195262063923,-25.7968705,497.63
virtualfarmer.portfolio_127,virtualfarmer.farm_505,Palmietfontein,26.315569094267293,-26.5280035,154.66
virtualfarmer.portfolio_127,virtualfarmer.farm_506,Uitkyk,26.408536477462114,-26.2651,342.65
virtualfarmer.portfolio_980,virtualfarmer.farm_1526,Klipfontein,30.001928013551705,-26.675317,1711.61
virtualfarmer.portfolio_886,virtualfarmer.farm_1319,Hazeldene,30.419673321239554,-28.122718499999998,323.8
virtualfarmer.portfolio_160,virtualfarmer.farm_833,Klippan,29.196700880558215,-26.0072605,550.55
virtualfarmer.portfolio_892,virtualfarmer.farm_1432,Kreekuil,25.949786787923536,-26.837257,520.86
virtualfarmer.portfolio_980,virtualfarmer.farm_1525,Klipspruit,30.556506681141713,-27.054375,280.78
virtualfarmer.portfolio_887,virtualfarmer.farm_1324,Bloemkrans,30.39135015379717,-26.385918500000002,430.83
virtualfarmer.portfolio_83,virtualfarmer.farm_148,Bergspruit,29.18818345600677,-28.619789,1231.628
virtualfarmer.portfolio_83,virtualfarmer.farm_149,Jagers Rust,29.129450611054708,-28.6071195,904.036
virtualfarmer.portfolio_325,virtualfarmer.farm_933,De Hoop,28.767625593561007,-27.9269435,755.42
virtualfarmer.portfolio_902,virtualfarmer.farm_1352,Harmzen,26.42563464278546,-26.1607725,97.26
virtualfarmer.portfolio_521,virtualfarmer.farm_1064,Claremont,29.169963647396443,-24.9284455,756.07
virtualfarmer.portfolio_536,virtualfarmer.farm_972,Loskop Noord,29.22643254430225,-25.014586,329.9
virtualfarmer.portfolio_848,virtualfarmer.farm_1263,Barendina,27.78154377518517,-28.695120000000003,684.91
virtualfarmer.portfolio_902,virtualfarmer.farm_1350,Gruisfontein,26.40215663758107,-26.137867,448.71
virtualfarmer.portfolio_902,virtualfarmer.farm_1351,Govermentsgrond,26.417784149930597,-26.145409,67.75
virtualfarmer.portfolio_127,virtualfarmer.farm_504,Malgasfontein,26.286484759753087,-26.441097499999998,1782.02
virtualfarmer.portfolio_902,virtualfarmer.farm_1349,Twee Buffels,26.44383553870442,-26.1638145,1407.85
virtualfarmer.portfolio_880,virtualfarmer.farm_1299,Middeldrif,29.253637706898267,-26.140772,608.52
virtualfarmer.portfolio_127,virtualfarmer.farm_507,Vaalbank,26.43274904083528,-26.3842065,1207.25
virtualfarmer.portfolio_886,virtualfarmer.farm_1318,Nhlanhleni,30.45129245413756,-28.181257000000002,447.83
